MPG,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,car_name,Average_weight,Average_MPG
23,4,97,54,2254,23.5,1972,European,volkswagen type 3,3237.714286,18.71
20,4,140,90,2408,19.5,1972,American,chevrolet vega,3237.714286,18.71
21,4,122,86,2226,16.5,1972,American,ford pinto runabout,3237.714286,18.71
13,8,350,165,4274,12,1972,American,chevrolet impala,3237.714286,18.71
14,8,400,175,4385,12,1972,American,pontiac catalina,3237.714286,18.71
15,8,318,150,4135,13.5,1972,American,plymouth fury iii,3237.714286,18.71
14,8,351,153,4129,13,1972,American,ford galaxie 500,3237.714286,18.71
17,8,304,150,3672,11.5,1972,American,amc ambassador sst,3237.714286,18.71
11,8,429,208,4633,11,1972,American,mercury marquis,3237.714286,18.71
13,8,350,155,4502,13.5,1972,American,buick lesabre custom,3237.714286,18.71
12,8,350,160,4456,13.5,1972,American,oldsmobile delta 88 royale,3237.714286,18.71
13,8,400,190,4422,12.5,1972,American,chrysler newport royal,3237.714286,18.71
19,3,70,97,2330,13.5,1972,Japanese,mazda rx2 coupe,3237.714286,18.71
15,8,304,150,3892,12.5,1972,American,amc matador (sw),3237.714286,18.71
13,8,307,130,4098,14,1972,American,chevrolet chevelle concours (sw),3237.714286,18.71
13,8,302,140,4294,16,1972,American,ford gran torino (sw),3237.714286,18.71
14,8,318,150,4077,14,1972,American,plymouth satellite custom (sw),3237.714286,18.71
18,4,121,112,2933,14.5,1972,European,volvo 145e (sw),3237.714286,18.71
22,4,121,76,2511,18,1972,European,volkswagen 411 (sw),3237.714286,18.71
21,4,120,87,2979,19.5,1972,European,peugeot 504 (sw),3237.714286,18.71
26,4,96,69,2189,18,1972,European,renault 12 (sw),3237.714286,18.71
22,4,122,86,2395,16,1972,American,ford pinto (sw),3237.714286,18.71
28,4,97,92,2288,17,1972,Japanese,datsun 510 (sw),3237.714286,18.71
23,4,120,97,2506,14.5,1972,Japanese,toyouta corona mark ii (sw),3237.714286,18.71
28,4,98,80,2164,15,1972,American,dodge colt (sw),3237.714286,18.71
27,4,97,88,2100,16.5,1972,Japanese,toyota corolla 1600 (sw),3237.714286,18.71
13,8,350,175,4100,13,1973,American,buick century 350,3419.025,17.1
14,8,304,150,3672,11.5,1973,American,amc matador,3419.025,17.1
13,8,350,145,3988,13,1973,American,chevrolet malibu,3419.025,17.1
14,8,302,137,4042,14.5,1973,American,ford gran torino,3419.025,17.1
15,8,318,150,3777,12.5,1973,American,dodge coronet custom,3419.025,17.1
12,8,429,198,4952,11.5,1973,American,mercury marquis brougham,3419.025,17.1
13,8,400,150,4464,12,1973,American,chevrolet caprice classic,3419.025,17.1
13,8,351,158,4363,13,1973,American,ford ltd,3419.025,17.1
14,8,318,150,4237,14.5,1973,American,plymouth fury gran sedan,3419.025,17.1
13,8,440,215,4735,11,1973,American,chrysler new yorker brougham,3419.025,17.1
12,8,455,225,4951,11,1973,American,buick electra 225 custom,3419.025,17.1
13,8,360,175,3821,11,1973,American,amc ambassador brougham,3419.025,17.1
18,6,225,105,3121,16.5,1973,American,plymouth valiant,3419.025,17.1
16,6,250,100,3278,18,1973,American,chevrolet nova custom,3419.025,17.1
18,6,232,100,2945,16,1973,American,amc hornet,3419.025,17.1
18,6,250,88,3021,16.5,1973,American,ford maverick,3419.025,17.1
23,6,198,95,2904,16,1973,American,plymouth duster,3419.025,17.1
26,4,97,46,1950,21,1973,European,volkswagen super beetle,3419.025,17.1
11,8,400,150,4997,14,1973,American,chevrolet impala,3419.025,17.1
12,8,400,167,4906,12.5,1973,American,ford country,3419.025,17.1
13,8,360,170,4654,13,1973,American,plymouth custom suburb,3419.025,17.1
12,8,350,180,4499,12.5,1973,American,oldsmobile vista cruiser,3419.025,17.1
18,6,232,100,2789,15,1973,American,amc gremlin,3419.025,17.1
20,4,97,88,2279,19,1973,Japanese,toyota carina,3419.025,17.1
21,4,140,72,2401,19.5,1973,American,chevrolet vega,3419.025,17.1
22,4,108,94,2379,16.5,1973,Japanese,datsun 610,3419.025,17.1
18,3,70,90,2124,13.5,1973,Japanese,maxda rx3,3419.025,17.1
19,4,122,85,2310,18.5,1973,American,ford pinto,3419.025,17.1
21,6,155,107,2472,14,1973,American,mercury capri v6,3419.025,17.1
26,4,98,90,2265,15.5,1973,European,fiat 124 sport coupe,3419.025,17.1
15,8,350,145,4082,13,1973,American,chevrolet monte carlo s,3419.025,17.1
16,8,400,230,4278,9.5,1973,American,pontiac grand prix,3419.025,17.1
29,4,68,49,1867,19.5,1973,European,fiat 128,3419.025,17.1
24,4,116,75,2158,15.5,1973,European,opel manta,3419.025,17.1
20,4,114,91,2582,14,1973,European,audi 100ls,3419.025,17.1
19,4,121,112,2868,15.5,1973,European,volvo 144ea,3419.025,17.1
15,8,318,150,3399,11,1973,American,dodge dart custom,3419.025,17.1
24,4,121,110,2660,14,1973,European,saab 99le,3419.025,17.1
20,6,156,122,2807,13.5,1973,Japanese,toyota mark ii,3419.025,17.1
11,8,350,180,3664,11,1973,American,oldsmobile omega,3419.025,17.1
20,6,198,95,3102,16.5,1974,American,plymouth duster,2877.925926,22.703
21,6,200,?,2875,17,1974,American,ford maverick,2877.925926,22.703
19,6,232,100,2901,16,1974,American,amc hornet,2877.925926,22.703
15,6,250,100,3336,17,1974,American,chevrolet nova,2877.925926,22.703
31,4,79,67,1950,19,1974,Japanese,datsun b210,2877.925926,22.703
26,4,122,80,2451,16.5,1974,American,ford pinto,2877.925926,22.703
32,4,71,65,1836,21,1974,Japanese,toyota corolla 1200,2877.925926,22.703
25,4,140,75,2542,17,1974,American,chevrolet vega,2877.925926,22.703
16,6,250,100,3781,17,1974,American,chevrolet chevelle malibu classic,2877.925926,22.703
16,6,258,110,3632,18,1974,American,amc matador,2877.925926,22.703
18,6,225,105,3613,16.5,1974,American,plymouth satellite sebring,2877.925926,22.703
16,8,302,140,4141,14,1974,American,ford gran torino,2877.925926,22.703
13,8,350,150,4699,14.5,1974,American,buick century luxus (sw),2877.925926,22.703
14,8,318,150,4457,13.5,1974,American,dodge coronet custom (sw),2877.925926,22.703
14,8,302,140,4638,16,1974,American,ford gran torino (sw),2877.925926,22.703
14,8,304,150,4257,15.5,1974,American,amc matador (sw),2877.925926,22.703
29,4,98,83,2219,16.5,1974,European,audi fox,2877.925926,22.703
26,4,79,67,1963,15.5,1974,European,volkswagen dasher,2877.925926,22.703
26,4,97,78,2300,14.5,1974,European,opel manta,2877.925926,22.703
31,4,76,52,1649,16.5,1974,Japanese,toyota corona,2877.925926,22.703
32,4,83,61,2003,19,1974,Japanese,datsun 710,2877.925926,22.703
28,4,90,75,2125,14.5,1974,American,dodge colt,2877.925926,22.703
24,4,90,75,2108,15.5,1974,European,fiat 128,2877.925926,22.703
26,4,116,75,2246,14,1974,European,fiat 124 tc,2877.925926,22.703
24,4,120,97,2489,15,1974,Japanese,honda civic,2877.925926,22.703
26,4,108,93,2391,15.5,1974,Japanese,subaru,2877.925926,22.703
31,4,79,67,2000,16,1974,European,fiat x1.9,2877.925926,22.703
19,6,225,95,3264,16,1975,American,plymouth valiant custom,3176.8,20.26
18,6,250,105,3459,16,1975,American,chevrolet nova,3176.8,20.26
15,6,250,72,3432,21,1975,American,mercury monarch,3176.8,20.26
15,6,250,72,3158,19.5,1975,American,ford maverick,3176.8,20.26
16,8,400,170,4668,11.5,1975,American,pontiac catalina,3176.8,20.26
15,8,350,145,4440,14,1975,American,chevrolet bel air,3176.8,20.26
16,8,318,150,4498,14.5,1975,American,plymouth grand fury,3176.8,20.26
14,8,351,148,4657,13.5,1975,American,ford ltd,3176.8,20.26
17,6,231,110,3907,21,1975,American,buick century,3176.8,20.26
16,6,250,105,3897,18.5,1975,American,chevroelt chevelle malibu,3176.8,20.26
15,6,258,110,3730,19,1975,American,amc matador,3176.8,20.26
18,6,225,95,3785,19,1975,American,plymouth fury,3176.8,20.26
21,6,231,110,3039,15,1975,American,buick skyhawk,3176.8,20.26
20,8,262,110,3221,13.5,1975,American,chevrolet monza 2+2,3176.8,20.26
13,8,302,129,3169,12,1975,American,ford mustang ii,3176.8,20.26
29,4,97,75,2171,16,1975,Japanese,toyota corolla,3176.8,20.26
23,4,140,83,2639,17,1975,American,ford pinto,3176.8,20.26
20,6,232,100,2914,16,1975,American,amc gremlin,3176.8,20.26
23,4,140,78,2592,18.5,1975,American,pontiac astro,3176.8,20.26
24,4,134,96,2702,13.5,1975,Japanese,toyota corona,3176.8,20.26
25,4,90,71,2223,16.5,1975,European,volkswagen dasher,3176.8,20.26
24,4,119,97,2545,17,1975,Japanese,datsun 710,3176.8,20.26
18,6,171,97,2984,14.5,1975,American,ford pinto,3176.8,20.26
29,4,90,70,1937,14,1975,European,volkswagen rabbit,3176.8,20.26
19,6,232,90,3211,17,1975,American,amc pacer,3176.8,20.26
23,4,115,95,2694,15,1975,European,audi 100ls,3176.8,20.26
23,4,120,88,2957,17,1975,European,peugeot 504,3176.8,20.26
22,4,121,98,2945,14.5,1975,European,volvo 244dl,3176.8,20.26
25,4,121,115,2671,13.5,1975,European,saab 99le,3176.8,20.26
33,4,91,53,1795,17.5,1975,Japanese,honda civic cvcc,3176.8,20.26
28,4,107,86,2464,15.5,1976,European,fiat 131,3078.735294,21.57
25,4,116,81,2220,16.9,1976,European,opel 1900,3078.735294,21.57
25,4,140,92,2572,14.9,1976,American,capri ii,3078.735294,21.57
26,4,98,79,2255,17.7,1976,American,dodge colt,3078.735294,21.57
27,4,101,83,2202,15.3,1976,European,renault 12tl,3078.735294,21.57
17.5,8,305,140,4215,13,1976,American,chevrolet chevelle malibu classic,3078.735294,21.57
16,8,318,150,4190,13,1976,American,dodge coronet brougham,3078.735294,21.57
15.5,8,304,120,3962,13.9,1976,American,amc matador,3078.735294,21.57
14.5,8,351,152,4215,12.8,1976,American,ford gran torino,3078.735294,21.57
22,6,225,100,3233,15.4,1976,American,plymouth valiant,3078.735294,21.57
22,6,250,105,3353,14.5,1976,American,chevrolet nova,3078.735294,21.57
24,6,200,81,3012,17.6,1976,American,ford maverick,3078.735294,21.57
22.5,6,232,90,3085,17.6,1976,American,amc hornet,3078.735294,21.57
29,4,85,52,2035,22.2,1976,American,chevrolet chevette,3078.735294,21.57
24.5,4,98,60,2164,22.1,1976,American,chevrolet woody,3078.735294,21.57
29,4,90,70,1937,14.2,1976,European,vw rabbit,3078.735294,21.57
33,4,91,53,1795,17.4,1976,Japanese,honda civic,3078.735294,21.57
20,6,225,100,3651,17.7,1976,American,dodge aspen se,3078.735294,21.57
18,6,250,78,3574,21,1976,American,ford granada ghia,3078.735294,21.57
18.5,6,250,110,3645,16.2,1976,American,pontiac ventura sj,3078.735294,21.57
17.5,6,258,95,3193,17.8,1976,American,amc pacer d/l,3078.735294,21.57
29.5,4,97,71,1825,12.2,1976,European,volkswagen rabbit,3078.735294,21.57
32,4,85,70,1990,17,1976,Japanese,datsun b-210,3078.735294,21.57
28,4,97,75,2155,16.4,1976,Japanese,toyota corolla,3078.735294,21.57
26.5,4,140,72,2565,13.6,1976,American,ford pinto,3078.735294,21.57
20,4,130,102,3150,15.7,1976,European,volvo 245,3078.735294,21.57
13,8,318,150,3940,13.2,1976,American,plymouth volare premier v8,3078.735294,21.57
19,4,120,88,3270,21.9,1976,European,peugeot 504,3078.735294,21.57
19,6,156,108,2930,15.5,1976,Japanese,toyota mark ii,3078.735294,21.57
16.5,6,168,120,3820,16.7,1976,European,mercedes-benz 280s,3078.735294,21.57
16.5,8,350,180,4380,12.1,1976,American,cadillac seville,3078.735294,21.57
13,8,350,145,4055,12,1976,American,chevy c10,3078.735294,21.57
13,8,302,130,3870,15,1976,American,ford f108,3078.735294,21.57
13,8,318,150,3755,14,1976,American,dodge d100,3078.735294,21.57
31.5,4,98,68,2045,18.5,1977,Japanese,honda accord cvcc,2997.357143,23.37
30,4,111,80,2155,14.8,1977,American,buick opel isuzu deluxe,2997.357143,23.37
36,4,79,58,1825,18.6,1977,European,renault 5 gtl,2997.357143,23.37
25.5,4,122,96,2300,15.5,1977,American,plymouth arrow gs,2997.357143,23.37
33.5,4,85,70,1945,16.8,1977,Japanese,datsun f-10 hatchback,2997.357143,23.37
17.5,8,305,145,3880,12.5,1977,American,chevrolet caprice classic,2997.357143,23.37
17,8,260,110,4060,19,1977,American,oldsmobile cutlass supreme,2997.357143,23.37
15.5,8,318,145,4140,13.7,1977,American,dodge monaco brougham,2997.357143,23.37
15,8,302,130,4295,14.9,1977,American,mercury cougar brougham,2997.357143,23.37
17.5,6,250,110,3520,16.4,1977,American,chevrolet concours,2997.357143,23.37
20.5,6,231,105,3425,16.9,1977,American,buick skylark,2997.357143,23.37
19,6,225,100,3630,17.7,1977,American,plymouth volare custom,2997.357143,23.37
18.5,6,250,98,3525,19,1977,American,ford granada,2997.357143,23.37
16,8,400,180,4220,11.1,1977,American,pontiac grand prix lj,2997.357143,23.37
15.5,8,350,170,4165,11.4,1977,American,chevrolet monte carlo landau,2997.357143,23.37
15.5,8,400,190,4325,12.2,1977,American,chrysler cordoba,2997.357143,23.37
16,8,351,149,4335,14.5,1977,American,ford thunderbird,2997.357143,23.37
29,4,97,78,1940,14.5,1977,European,volkswagen rabbit custom,2997.357143,23.37
24.5,4,151,88,2740,16,1977,American,pontiac sunbird coupe,2997.357143,23.37
26,4,97,75,2265,18.2,1977,Japanese,toyota corolla liftback,2997.357143,23.37
25.5,4,140,89,2755,15.8,1977,American,ford mustang ii 2+2,2997.357143,23.37
30.5,4,98,63,2051,17,1977,American,chevrolet chevette,2997.357143,23.37
33.5,4,98,83,2075,15.9,1977,American,dodge colt m/m,2997.357143,23.37
30,4,97,67,1985,16.4,1977,Japanese,subaru dl,2997.357143,23.37
30.5,4,97,78,2190,14.1,1977,European,volkswagen dasher,2997.357143,23.37
22,6,146,97,2815,14.5,1977,Japanese,datsun 810,2997.357143,23.37
21.5,4,121,110,2600,12.8,1977,European,bmw 320i,2997.357143,23.37
21.5,3,80,110,2720,13.5,1977,Japanese,mazda rx-4,2997.357143,23.37
43.1,4,90,48,1985,21.5,1978,European,volkswagen rabbit custom diesel,2861.805556,24.06
36.1,4,98,66,1800,14.4,1978,American,ford fiesta,2861.805556,24.06
32.8,4,78,52,1985,19.4,1978,Japanese,mazda glc deluxe,2861.805556,24.06
39.4,4,85,70,2070,18.6,1978,Japanese,datsun b210 gx,2861.805556,24.06
36.1,4,91,60,1800,16.4,1978,Japanese,honda civic cvcc,2861.805556,24.06
19.9,8,260,110,3365,15.5,1978,American,oldsmobile cutlass salon brougham,2861.805556,24.06
19.4,8,318,140,3735,13.2,1978,American,dodge diplomat,2861.805556,24.06
20.2,8,302,139,3570,12.8,1978,American,mercury monarch ghia,2861.805556,24.06
19.2,6,231,105,3535,19.2,1978,American,pontiac phoenix lj,2861.805556,24.06
20.5,6,200,95,3155,18.2,1978,American,chevrolet malibu,2861.805556,24.06
20.2,6,200,85,2965,15.8,1978,American,ford fairmont (auto),2861.805556,24.06
25.1,4,140,88,2720,15.4,1978,American,ford fairmont (man),2861.805556,24.06
20.5,6,225,100,3430,17.2,1978,American,plymouth volare,2861.805556,24.06
19.4,6,232,90,3210,17.2,1978,American,amc concord,2861.805556,24.06
20.6,6,231,105,3380,15.8,1978,American,buick century special,2861.805556,24.06
20.8,6,200,85,3070,16.7,1978,American,mercury zephyr,2861.805556,24.06
18.6,6,225,110,3620,18.7,1978,American,dodge aspen,2861.805556,24.06
18.1,6,258,120,3410,15.1,1978,American,amc concord d/l,2861.805556,24.06
19.2,8,305,145,3425,13.2,1978,American,chevrolet monte carlo landau,2861.805556,24.06
17.7,6,231,165,3445,13.4,1978,American,buick regal sport coupe (turbo),2861.805556,24.06
18.1,8,302,139,3205,11.2,1978,American,ford futura,2861.805556,24.06
17.5,8,318,140,4080,13.7,1978,American,dodge magnum xe,2861.805556,24.06
30,4,98,68,2155,16.5,1978,American,chevrolet chevette,2861.805556,24.06
27.5,4,134,95,2560,14.2,1978,Japanese,toyota corona,2861.805556,24.06
27.2,4,119,97,2300,14.7,1978,Japanese,datsun 510,2861.805556,24.06
30.9,4,105,75,2230,14.5,1978,American,dodge omni,2861.805556,24.06
21.1,4,134,95,2515,14.8,1978,Japanese,toyota celica gt liftback,2861.805556,24.06
23.2,4,156,105,2745,16.7,1978,American,plymouth sapporo,2861.805556,24.06
23.8,4,151,85,2855,17.6,1978,American,oldsmobile starfire sx,2861.805556,24.06
23.9,4,119,97,2405,14.9,1978,Japanese,datsun 200-sx,2861.805556,24.06
20.3,5,131,103,2830,15.9,1978,European,audi 5000,2861.805556,24.06
17,6,163,125,3140,13.6,1978,European,volvo 264gl,2861.805556,24.06
21.6,4,121,115,2795,15.7,1978,European,saab 99gle,2861.805556,24.06
16.2,6,163,133,3410,15.8,1978,European,peugeot 604sl,2861.805556,24.06
31.5,4,89,71,1990,14.9,1978,European,volkswagen scirocco,2861.805556,24.06
29.5,4,98,68,2135,16.6,1978,Japanese,honda accord lx,2861.805556,24.06
21.5,6,231,115,3245,15.4,1979,American,pontiac lemans v6,3055.344828,25.09
19.8,6,200,85,2990,18.2,1979,American,mercury zephyr 6,3055.344828,25.09
22.3,4,140,88,2890,17.3,1979,American,ford fairmont 4,3055.344828,25.09
20.2,6,232,90,3265,18.2,1979,American,amc concord dl 6,3055.344828,25.09
20.6,6,225,110,3360,16.6,1979,American,dodge aspen 6,3055.344828,25.09
17,8,305,130,3840,15.4,1979,American,chevrolet caprice classic,3055.344828,25.09
17.6,8,302,129,3725,13.4,1979,American,ford ltd landau,3055.344828,25.09
16.5,8,351,138,3955,13.2,1979,American,mercury grand marquis,3055.344828,25.09
18.2,8,318,135,3830,15.2,1979,American,dodge st. regis,3055.344828,25.09
16.9,8,350,155,4360,14.9,1979,American,buick estate wagon (sw),3055.344828,25.09
15.5,8,351,142,4054,14.3,1979,American,ford country squire (sw),3055.344828,25.09
19.2,8,267,125,3605,15,1979,American,chevrolet malibu classic (sw),3055.344828,25.09
18.5,8,360,150,3940,13,1979,American,chrysler lebaron town @ country (sw),3055.344828,25.09
31.9,4,89,71,1925,14,1979,European,vw rabbit custom,3055.344828,25.09
34.1,4,86,65,1975,15.2,1979,Japanese,maxda glc deluxe,3055.344828,25.09
35.7,4,98,80,1915,14.4,1979,American,dodge colt hatchback custom,3055.344828,25.09
27.4,4,121,80,2670,15,1979,American,amc spirit dl,3055.344828,25.09
25.4,5,183,77,3530,20.1,1979,European,mercedes benz 300d,3055.344828,25.09
23,8,350,125,3900,17.4,1979,American,cadillac eldorado,3055.344828,25.09
27.2,4,141,71,3190,24.8,1979,European,peugeot 504,3055.344828,25.09
23.9,8,260,90,3420,22.2,1979,American,oldsmobile cutlass salon brougham,3055.344828,25.09
34.2,4,105,70,2200,13.2,1979,American,plymouth horizon,3055.344828,25.09
34.5,4,105,70,2150,14.9,1979,American,plymouth horizon tc3,3055.344828,25.09
31.8,4,85,65,2020,19.2,1979,Japanese,datsun 210,3055.344828,25.09
37.3,4,91,69,2130,14.7,1979,European,fiat strada custom,3055.344828,25.09
28.4,4,151,90,2670,16,1979,American,buick skylark limited,3055.344828,25.09
28.8,6,173,115,2595,11.3,1979,American,chevrolet citation,3055.344828,25.09
26.8,6,173,115,2700,12.9,1979,American,oldsmobile omega brougham,3055.344828,25.09
33.5,4,151,90,2556,13.2,1979,American,pontiac phoenix,3055.344828,25.09
41.5,4,98,76,2144,14.7,1980,European,vw rabbit,2436.655172,33.69
38.1,4,89,60,1968,18.8,1980,Japanese,toyota corolla tercel,2436.655172,33.69
32.1,4,98,70,2120,15.5,1980,American,chevrolet chevette,2436.655172,33.69
37.2,4,86,65,2019,16.4,1980,Japanese,datsun 310,2436.655172,33.69
28,4,151,90,2678,16.5,1980,American,chevrolet citation,2436.655172,33.69
26.4,4,140,88,2870,18.1,1980,American,ford fairmont,2436.655172,33.69
24.3,4,151,90,3003,20.1,1980,American,amc concord,2436.655172,33.69
19.1,6,225,90,3381,18.7,1980,American,dodge aspen,2436.655172,33.69
34.3,4,97,78,2188,15.8,1980,European,audi 4000,2436.655172,33.69
29.8,4,134,90,2711,15.5,1980,Japanese,toyota corona liftback,2436.655172,33.69
31.3,4,120,75,2542,17.5,1980,Japanese,mazda 626,2436.655172,33.69
37,4,119,92,2434,15,1980,Japanese,datsun 510 hatchback,2436.655172,33.69
32.2,4,108,75,2265,15.2,1980,Japanese,toyota corolla,2436.655172,33.69
46.6,4,86,65,2110,17.9,1980,Japanese,mazda glc,2436.655172,33.69
27.9,4,156,105,2800,14.4,1980,American,dodge colt,2436.655172,33.69
40.8,4,85,65,2110,19.2,1980,Japanese,datsun 210,2436.655172,33.69
44.3,4,90,48,2085,21.7,1980,European,vw rabbit c (diesel),2436.655172,33.69
43.4,4,90,48,2335,23.7,1980,European,vw dasher (diesel),2436.655172,33.69
36.4,5,121,67,2950,19.9,1980,European,audi 5000s (diesel),2436.655172,33.69
30,4,146,67,3250,21.8,1980,European,mercedes-benz 240d,2436.655172,33.69
44.6,4,91,67,1850,13.8,1980,Japanese,honda civic 1500 gl,2436.655172,33.69
40.9,4,85,?,1835,17.3,1980,European,renault lecar deluxe,2436.655172,33.69
33.8,4,97,67,2145,18,1980,Japanese,subaru dl,2436.655172,33.69
29.8,4,89,62,1845,15.3,1980,European,vokswagen rabbit,2436.655172,33.69
32.7,6,168,132,2910,11.4,1980,Japanese,datsun 280-zx,2436.655172,33.69
23.7,3,70,100,2420,12.5,1980,Japanese,mazda rx-7 gs,2436.655172,33.69
35,4,122,88,2500,15.1,1980,European,triumph tr7 coupe,2436.655172,33.69
23.6,4,140,?,2905,14.3,1980,American,ford mustang cobra,2436.655172,33.69
32.4,4,107,72,2290,17,1980,Japanese,honda accord,2436.655172,33.69
27.2,4,135,84,2490,15.7,1981,American,plymouth reliant,2522.931034,30.33
26.6,4,151,84,2635,16.4,1981,American,buick skylark,2522.931034,30.33
25.8,4,156,92,2620,14.4,1981,American,dodge aries wagon (sw),2522.931034,30.33
23.5,6,173,110,2725,12.6,1981,American,chevrolet citation,2522.931034,30.33
30,4,135,84,2385,12.9,1981,American,plymouth reliant,2522.931034,30.33
39.1,4,79,58,1755,16.9,1981,Japanese,toyota starlet,2522.931034,30.33
39,4,86,64,1875,16.4,1981,American,plymouth champ,2522.931034,30.33
35.1,4,81,60,1760,16.1,1981,Japanese,honda civic 1300,2522.931034,30.33
32.3,4,97,67,2065,17.8,1981,Japanese,subaru,2522.931034,30.33
37,4,85,65,1975,19.4,1981,Japanese,datsun 210 mpg,2522.931034,30.33
37.7,4,89,62,2050,17.3,1981,Japanese,toyota tercel,2522.931034,30.33
34.1,4,91,68,1985,16,1981,Japanese,mazda glc 4,2522.931034,30.33
34.7,4,105,63,2215,14.9,1981,American,plymouth horizon 4,2522.931034,30.33
34.4,4,98,65,2045,16.2,1981,American,ford escort 4w,2522.931034,30.33
29.9,4,98,65,2380,20.7,1981,American,ford escort 2h,2522.931034,30.33
33,4,105,74,2190,14.2,1981,European,volkswagen jetta,2522.931034,30.33
34.5,4,100,?,2320,15.8,1981,European,renault 18i,2522.931034,30.33
33.7,4,107,75,2210,14.4,1981,Japanese,honda prelude,2522.931034,30.33
